about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
"CA Foundation Law, Economics and Quantitative Aptitude Combo Full Course By MEPL Classes in 330 Hrs. These lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study materials will be provided with the same.",,MEPL Classes,,"CA Foundation Law, Economics and Quantitative Aptitude Combo Full Course By MEPL Classes","Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/@mohitagarwalsir/videos,,"Rs. 18,980.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CAFoundationLaw_EconomicsandQuantitativeAptitudeComboFullCourseByMEPLClasses_1302a132-982f-4990-9bc8-fff322ef65df_1024x1024.jpg?v=1741428352,Video Lectures + Study Materials (2 Books),Google Drive,"May-25,Sep-25,Jan-26",,"There Is No Transfer Possible To Another Device Due To Any Reason,Computer /Desktop Monitor size should not be more than 19” inches,IOS not supported for Google Drive / Pen Drive,Use of Earphone is recommended for better concentration and audio quality","Rs. 15,184.00",0.00,,"Laptop / Desktop -,Windows 8 & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,Mobile -,Classes will play only in Android & IOS | Classes Are Not In Downloadable Format. It Will Be In Streaming Mode, Just Like YouTube | Internet Availability Will Be Compulsory For Streaming The Classes | PENDRIVE CLASS WILL NOT WORK IN MOBILE APP | Model of the android mobile must be of YEAR - 2019 or above, otherwise classes won’t support. Minimum 3GB RAM required | Ipad / Iphone requires IOS 13.0 or later version to run the MOBILE APP Classes",0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/ca-foundation-law-economics-and-quantitative-aptitude-by-mepl-classes,6 Months / 9 Months / 12 Months from the date of activation,Hindi-English Mix
"CA Foundation Quantitative Aptitude (QA) Full Course By Prof Sanjeev Pandey in 120 Hrs. These lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study materials will be provided with the same.",,MEPL Classes,,CA Foundation Quantitative Aptitude (QA) Full Course By MEPL Classes - Prof Sanjeev Pandey,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/@mohitagarwalsir/videos,,"Rs. 7,300.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/AFoundationQuantitativeAptitude_QA_FullCourseByMEPLClasses-ProfSanjeevPandey_1024x1024.jpg?v=1741428351,Video Lectures + Study Materials (1 Book),Google Drive,"May-25,Sep-25,Jan-26",,"There Is No Transfer Possible To Another Device Due To Any Reason,Computer /Desktop Monitor size should not be more than 19” inches,IOS not supported for Google Drive / Pen Drive,Use of Earphone is recommended for better concentration and audio quality","Rs. 5,840.00",0.00,,"Laptop / Desktop -,Windows 8 & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,Mobile -,Classes will play only in Android & IOS | Classes Are Not In Downloadable Format. It Will Be In Streaming Mode, Just Like YouTube | Internet Availability Will Be Compulsory For Streaming The Classes | PENDRIVE CLASS WILL NOT WORK IN MOBILE APP | Model of the android mobile must be of YEAR - 2019 or above, otherwise classes won’t support. Minimum 3GB RAM required | Ipad / Iphone requires IOS 13.0 or later version to run the MOBILE APP Classes",0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/ca-foundation-quantitative-aptitude-qa-by-prof-sanjeev-pandey,6 Months / 9 Months / 12 Months from the date of activation,Hindi-English Mix
"CA Foundation All Subjects Fast Track Combo By Ultimate CA for May 25 and Sep 25 Students in approx 300 hours, 6 months validity and unlimited views. Google Drive Video Lectures available. 8 Books will be provided with the same.",,Ultimate CA,,CA Foundation All Subjects Exam Oriented Combo By Ultimate CA (Law By Deepika Ma'am),Google Drive with Hard Copy,https://www.youtube.com/@ultimateca./videos,,,,Business Laws DR: 94 hrs | Business Economics: 110 hrs | Quantitative Aptitude: 109 hrs | Business Accounts: 127 hrs,,//zeroinfy.in/cdn/shop/files/CAFoundationAllSubjectsExamOrientedComboByUltimateCA_LawByDeepikaMa_am_1024x1024.jpg?v=1740058951,Video Lectures + Study Materials (9 Books),Google Drive,,,,"Rs. 9,999.00",0.00,Latest,"Laptop -,Windows- 8, 8.1, 10 (Only 64 Bit) | 4GB Ram | Processor - i3/i5/i7/AMD | Sharable Memory Above 500MB,Mobile -,Android version 5 onwards | Ram 2 GB Minimum",0,Laptop / Mobile,English,Email at support@zeroinfy.in,Unlimited,https://zeroinfy.in/collections/all/products/ca-foundation-all-subjects-exam-oriented-combo-by-ultimate-ca-law-by-deepika-maam,6 Months from the Date of Activation,Hindi-English Mix
"CMA Foundation Law and Economics Combo Full Course By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria in 200 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Foundation Law and Economics Combo Full Course By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://youtube.com/playlist?list=PL1ytxhBe1IJI-8tNC-qM_NaWf5MSwH046&si=pbu0d29P5oS2bLsk,,"Rs. 11,000.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAFoundationLawandEconomicsComboFullCourseByMEPLClassesCADivyaAgarwalandCAShrutiChamaria_1024x1024.jpg?v=1741428349,Video Lectures + Study Materials (Hard Copy Book),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 9,570.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The MobileÂ,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-foundation-law-and-economics-combo-full-course-by-mepl-classes-ca-divya-agarwal,"6 Months / 9 Months / 12 Months,from date of activation",Hindi-English Mix
"CMA Foundation Law Full Course By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria in 110 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Foundation Law Full Course By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://youtube.com/playlist?list=PL1ytxhBe1IJI-8tNC-qM_NaWf5MSwH046&si=pbu0d29P5oS2bLsk,,"Rs. 6,000.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAFoundationLawFullCourseByMEPLClassesCADivyaAgarwalandCAShrutiChamaria_1024x1024.jpg?v=1741428348,Video Lectures + Study Materials (1 Book),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 5,220.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The MobileÂ,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-foundation-law-full-course-by-mepl-classes-ca-divya-agarwal,"6 Months / 9 Months / 12 Months,from date of activation",Hindi-English Mix
"CMA Foundation Economics Full Course By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria in 90 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Foundation Economics Full Course By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://youtube.com/playlist?list=PL1ytxhBe1IJI-8tNC-qM_NaWf5MSwH046&si=pbu0d29P5oS2bLsk,,"Rs. 6,000.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAFoundationEconomicsFullCourseByMEPLClassesCADivyaAgarwalandCAShrutiChamaria_1024x1024.jpg?v=1741428346,Video Lectures + Study Materials (1 Book),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 5,220.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The MobileÂ,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-foundation-economics-full-course-by-mepl-classes-ca-divya-agarwal,"6 Months / 9 Months / 12 Months,from date of activation",Hindi-English Mix
,,Fast Education,,CMA Final IDT SAFAL Batch In English By CA Riddhi Baghmar,"Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=BGsp74ylcnA,,,WhatsApp,120 Hours,,//zeroinfy.in/cdn/shop/files/CMAFinalIDTSAFALBatchInEnglishByCARiddhiBaghmar_1024x1024.jpg?v=1740233957,"Video Lectures + Study Materials,Study Kit Contains -,Multi Coloured Handwritten Concept Book + Question Bank (B/W)",,,,,"Rs. 8,000.00",0.00,Latest,"Laptop: Windows 10 or Higher | 3 GB Ram & Above,Mobile: Android 7.0 & Above | 3 GB Ram & Above",0,,English,"Mobile- 9584510000 / 9522564050,Email at support@zeroinfy.in","1.7 times,on duration (Live batch 1 Times only)",https://zeroinfy.in/collections/all/products/cma-final-idt-safal-batch-in-english-by-ca-riddhi-baghmar,"12 Months,from the date of activation",English
,,Fast Education,,CMA Final SFM Full Course By CA Adish Jain,"Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=T0rjIoHJFJE&list=PLLBhlRYroqc03bKliE0Hf0Ykk9FkYUtAj,,,WhatsApp / Mail,"265 Hrs (100 Lectures),(100% Coverage)",,//zeroinfy.in/cdn/shop/files/CMAFinalSFMFullCourseByCAAdishJain_1024x1024.jpg?v=1740233966,"Video Lectures + Study Materials,Study Kit Contains -,OutNotes (Coloured concept book) + AFM OutScanner (QA Book)",Google Drive | Mobile App | Pen Drive,,,,"Rs. 8,500.00",0.00,Latest,"Laptop: Windows 10 or Higher | 3 GB Ram & Above,Mobile: Android 7.0 & Above | 3 GB Ram & Above",0,,English,"Mobile- 9584510000 / 9522564050,Email at support@zeroinfy.in","1.7 times,on duration",https://zeroinfy.in/collections/all/products/cma-final-sfm-full-course-by-ca-adish-jain,"24 Months,from the date of activation",Hindi-English Mix
,,Fast Education,,CMA Final SFM Full Course In English By CA Adish Jain,"Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=8CNMjQEbU14&t=6s,,,WhatsApp / Mail,"265 Hrs (100 Lectures),(100% Coverage)",,//zeroinfy.in/cdn/shop/files/CMAFinalSFMFullCourseInEnglishByCAAdishJain_1024x1024.jpg?v=1740233975,"Video Lectures + Study Materials,Study Kit Contains -,OutNotes (Coloured concept book) + AFM OutScanner (QA Book)",Google Drive | Mobile App | Pen Drive,,,,"Rs. 8,500.00",0.00,Latest,"Laptop: Windows 10 or Higher | 3 GB Ram & Above,Mobile: Android 7.0 & Above | 3 GB Ram & Above",0,,English,"Mobile- 9584510000 / 9522564050,Email at support@zeroinfy.in","1.7 times,on duration",https://zeroinfy.in/collections/all/products/cma-final-sfm-full-course-in-english-by-ca-adish-jain,"24 Months,from the date of activation",English
After attaining the respect of being called a CA chose to spread and share his knowledge to the coming young students who aspire to be CA's too,Will Be Uploaded On YouTube If Any,BB Virtuals,,CA Final DT and IDT Regular Combo By CA Bhanwar Borana and CA Siddhesh Valimbe,"Live Batch with Hard Copy,Google Drive with Hard Copy",,,"Rs. 20,499.00",Mail / WhatsApp,"DT,:,253 hours,(Approx 84 lectures),IDT,:,125 Hrs,(Approx 42 lectures)",,//zeroinfy.in/cdn/shop/files/CAFinalDTandIDTRegularComboByCABhanwarBoranaandCASiddheshValimbe_1024x1024.jpg?v=1740233983,"Video Lectures + Study Materials,Study Kit Contains -,DT,:,Bare Act Provision Book / Compact 3.0 (Compact 4.0 For July 25 Recording) / Q & A Compiler |,IDT,:,Concepts Book, Question Bank, Virtual Handwritten Notes and MCQs In Telegram Chanel",Google Drive | Mobile App,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 18,449.00",0.00,"DT:,Aug 24,/ July 25,(15th July to 30th October) | IDT:,March 25,(24th March to 25th May | 6 PM - 9:15 PM)","Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.,Laptop / Desktop:,Windows 8 and above | Minimum processor Dual Core & Above | Minimum Ram 2 GB | MAC System doesn’t support,Mobile:,Minimum Ram 3GB (Recommended 4GB) | Minimum Android Version 7.0 & above | IOS (Apple) also supported | Phone should have good performance",0,"Laptop / Mobile,Laptop / Desktop / Mobile",English,Email at support@zeroinfy.in,"DT - 1.5 times,on duration every lecture with unlimited clicks,IDT - 1.7 times,on duration every lecture with unlimited clicks,Extension Of Views Not Available,Upto 2x FF Available",https://zeroinfy.in/collections/all/products/ca-final-dt-idt-regular-combo-by-bhanwar-borana-and-siddhesh-valimbe,"12 months,from the date of activation,Validity Extension Available On A Chargeable Basis",Hindi-English Mix
CA Inter Advanced Accounting and Taxation Regular Combo By CA Anshul Agrawal and CA Nishant Kumar in approx 360 Hrs. These lectures are beneficial for,,CA Ekagrata,,CA Inter Advanced Accounting and Taxation Regular Combo By CA Anshul Agrawal and CA Nishant Kumar,Google Drive with Hard Copy,https://www.youtube.com/@KinshukInstitute/videos,,"Rs. 15,000.00",Mail,"360 Hrs (250 Lectures),15 days from the date of order",,//zeroinfy.in/cdn/shop/files/CAInterAdvancedAccountingandTaxationRegularComboByCAAnshulAgrawalandCANishantKumar_1024x1024.jpg?v=1741093835,Video Lectures + Study Materials (5 Books),Google Drive,,,,"Rs. 10,500.00",0.00,Aug 2024,"Desktop / Laptop,- Windows 8 & Above | 3 GB RAM & Above,Mobile,- Android 7.0 & Above | 4 GB RAM & Above | IOS",0,,English,"Mobile - 6262969609,Mail - support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-inter-advanced-accounting-and-taxation-regular-combo-by-ca-ekagrata,6 Months from the date of activation,Hindi-English Mix
"""EKAGRATA"" signifies ""Concentration"", a pivotal element in achieving success in life. The phrase “न भूतो न भविष्यति” translates to ""like whom none existed in the past, nor will in the future."" Ekagrata is not just an was institution but it is a mission, Mission to democratize education in Commerce fraternity and make people aware about the fact that this stream is at Par or even ahead of other stream where a student has massive career opportunities. We at Ekagrata brings highly qualified & experienced educators to impart highest quality education for our students that will not just help our learners to get through one of India's most challenging exams but also aiding them in securing AIRs in CA exams.",,CA Ekagrata,,CA Inter Costing Fast Track By CA Anshul Agarwal,Live Batch with Hard Copy,https://www.youtube.com/@ekagrataca/videos,,"Rs. 6,500.00",Mail,"150 Hrs (50 Lectures),15 days from the date of order",,//zeroinfy.in/cdn/shop/files/CAInterCostingFastTrackByCAAnshulAgarwal_1024x1024.jpg?v=1741093836,Video Lectures + Study Materials (3 Books),Live Batch,,,,"Rs. 4,550.00",0.00,Feb 2025,"Laptop,- Windows 8 & Above | 3 GB RAM & Above,Mobile,- Android 7.0 & Above | 4 GB RAM & Above | IOS",0,,English,"Mobile - 6262969609,Mail - support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-inter-costing-fast-track-by-ca-anshul-agarwal,6 Months from the date of activation,Hindi-English Mix
"CA Inter Group 1 Exam Oriented Video Lectures Combo By CA Swapnil Patni Classes for May 25 and Sep 25 Students in 700 Hours, 6 months validity and 2 times view. Google Drive Video Lectures available. Hard-copy books will be provided.",,Swapnil Patni Classes,,CA Inter Both Group Exam Oriented Video Lectures Combo By CA Swapnil Patni Classes,Google Drive,"https://zeroinfy.in/pages/swapnil-patni-classes-terms-conditions,https://www.youtube.com/@Zeroinfyin/videos",,,Through Whatsapp,Adv Acc - 130 Hrs | Law - 108 Hrs | Tax - 140 Hrs | FM SM - 130 Hrs | Audit - 75 Hrs | Cost- 130 Hrs,,//zeroinfy.in/cdn/shop/files/CAInterBothGroupExamOrientedVideoLecturesComboByCASwapnilPatniClasses_1024x1024.jpg?v=1740465456,Video Lectures + Study Materials (17 Hard Copy Books),Google Drive,"Colored Books - RS.18000/- | Digital Books - RS.6000/-,No Book",,,"Rs. 27,000.00",0.00,Latest,"Laptop,: Windows- 8, 8.1, 10 (Only 64 Bit) | 4GB Ram | Processor - i3/i5/i7/AMD | Sharable Memory Above 500MB | Graphics card Minimum 1 GB,Mobile,: Android Version 5 & Above (Expect Some Optional Models) | 2 GB Ram & Above | Sufficient Internal Storage According to lecture's Size",0,Laptop / Mobile,,"Mobile - 8421884218, 7588775887,Email at support@zeroinfy.in",2 views on duration with 10 clicks on each lecture,https://zeroinfy.in/collections/all/products/ca-inter-both-group-exam-oriented-video-lectures-combo-by-ca-swapnil-patni-classes,6 Months from the date of activation,Hindi-English Mix
